item_id,category,item_type,company,model,weight_oz,price_usd,quantity,total_price_usd,season_rating,material,color,waterproof,capacity_liters,essential_level,notes
1,Shelter,Tent,Big Agnes,Copper Spur HV UL2,45,549.95,1,549.95,3,Nylon,Green,Yes,0,High,Big Agnes Copper Spur HV UL2 backpacking tent
2,Shelter,Tent,MSR,Hubba Hubba 2,50,579.95,1,579.95,3,Nylon,Red,Yes,0,High,MSR Hubba Hubba 2 backpacking tent
3,Shelter,Tent,NEMO,Hornet OSMO 2P,36,429.95,1,429.95,3,Nylon,Blue,Yes,0,High,NEMO Hornet OSMO 2P backpacking tent
4,Shelter,Tent,REI Co-op,Flash Air 2,31,399.0,1,399.0,3,Nylon,Gray,Yes,0,High,REI Co-op Flash Air 2 backpacking tent
5,Shelter,Tent,Zpacks,Duplex,18.5,699.0,1,699.0,3,Dyneema,Olive,Yes,0,High,Zpacks Duplex backpacking tent
6,Shelter,Tarp,Hyperlite Mountain Gear,Flat Tarp 8x10,8.5,355.0,1,355.0,3,Dyneema,White,Yes,0,High,Hyperlite Mountain Gear Flat Tarp 8x10 backpacking tarp
7,Shelter,Tarp,Sea to Summit,Escapist Tarp,10.5,229.95,1,229.95,3,Nylon,Lime,Yes,0,High,Sea to Summit Escapist Tarp backpacking tarp
8,Shelter,Tent Stakes,MSR,Groundhog Stakes,0.5,3.95,2,7.9,3,Aluminum,Red,No,0,High,MSR Groundhog Stakes backpacking tent stakes
9,Shelter,Groundsheet,Tyvek,HomeWrap Footprint,6,18.0,1,18.0,3,Tyvek,White,Water Resistant,0,High,Tyvek HomeWrap Footprint backpacking groundsheet
10,Shelter,Bivy Sack,Outdoor Research,Helium Bivy,16,199.0,1,199.0,3,Nylon,Blue,Yes,0,High,Outdoor Research Helium Bivy backpacking bivy sack
11,Sleeping,Sleeping Bag,Western Mountaineering,Alpinlite 20,31,689.0,1,689.0,3,Down,Blue,No,0,High,Western Mountaineering Alpinlite 20 backpacking sleeping bag
12,Sleeping,Sleeping Bag,Marmot,Trestles Elite Eco 20,38,169.0,1,169.0,3,Synthetic,Orange,No,0,High,Marmot Trestles Elite Eco 20 backpacking sleeping bag
13,Sleeping,Quilt,Enlightened Equipment,Revelation 20,22,345.0,1,345.0,3,Down,Green,No,0,High,Enlightened Equipment Revelation 20 backpacking quilt
14,Sleeping,Sleeping Pad,Therm-a-Rest,NeoAir XLite NXT,13,209.95,1,209.95,3,Inflatable,Yellow,No,0,High,Therm-a-Rest NeoAir XLite NXT backpacking sleeping pad
15,Sleeping,Sleeping Pad,NEMO,Tensor Insulated,15,199.95,1,199.95,3,Inflatable,Orange,No,0,High,NEMO Tensor Insulated backpacking sleeping pad
16,Sleeping,Foam Pad,NEMO,Switchback,14.5,54.95,1,54.95,3,Foam,Orange,No,0,High,NEMO Switchback backpacking foam pad
17,Sleeping,Pillow,NEMO,Fillo Elite,3,59.95,1,59.95,3,Polyester,Gray,No,0,High,NEMO Fillo Elite backpacking pillow
18,Sleeping,Sleeping Liner,Sea to Summit,Thermolite Reactor,8.7,69.95,1,69.95,3,Polyester,Red,No,0,High,Sea to Summit Thermolite Reactor backpacking sleeping liner
19,Sleeping,Stuff Sack,Sea to Summit,Ultra-Sil Compression Sack,2.3,36.95,1,36.95,3,Nylon,Blue,Water Resistant,8,High,Sea to Summit Ultra-Sil Compression Sack backpacking stuff sack
20,Sleeping,Camp Blanket,Rumpl,Original Puffy Blanket,34,125.0,1,125.0,3,Recycled Polyester,Multi,Water Resistant,0,High,Rumpl Original Puffy Blanket backpacking camp blanket
21,Backpack,Backpack,Osprey,Exos 58,48,260.0,1,260.0,3,Nylon,Blue,Water Resistant,58,High,Osprey Exos 58 backpacking backpack
22,Backpack,Backpack,Gregory,Focal 58,45,249.95,1,249.95,3,Nylon,Gray,Water Resistant,58,High,Gregory Focal 58 backpacking backpack
23,Backpack,Backpack,Hyperlite Mountain Gear,Southwest 55,32,379.0,1,379.0,3,Dyneema,White,Water Resistant,55,High,Hyperlite Mountain Gear Southwest 55 backpacking backpack
24,Backpack,Backpack,Granite Gear,Crown3 60,40,239.95,1,239.95,3,Nylon,Black,Water Resistant,60,High,Granite Gear Crown3 60 backpacking backpack
25,Backpack,Backpack,ULA Equipment,Circuit,37,299.99,1,299.99,3,Robic Nylon,Green,Water Resistant,68,High,ULA Equipment Circuit backpacking backpack
26,Backpack,Pack Liner,Nylofume,Pack Liner,0.9,2.5,1,2.5,3,Plastic,Clear,Yes,0,High,Nylofume Pack Liner backpacking pack liner
27,Backpack,Rain Cover,Osprey,Ultralight Raincover,3,40.0,1,40.0,3,Nylon,Black,Yes,0,High,Osprey Ultralight Raincover backpacking rain cover
28,Backpack,Hip Belt Pocket,Gossamer Gear,Hipbelt Pocket,1.3,20.0,1,20.0,3,Nylon,Gray,Water Resistant,1,High,Gossamer Gear Hipbelt Pocket backpacking hip belt pocket
29,Backpack,Shoulder Pouch,Hyperlite Mountain Gear,Shoulder Pocket,1.4,59.0,1,59.0,3,Dyneema,White,Water Resistant,1,High,Hyperlite Mountain Gear Shoulder Pocket backpacking shoulder pouch
30,Backpack,Stuff Sack,REI Co-op,Lightweight Stuff Sack,1.5,14.95,1,14.95,3,Nylon,Orange,Water Resistant,5,High,REI Co-op Lightweight Stuff Sack backpacking stuff sack
